customer_id,recency,frequency,monetary,R,F,M,segment
AA-10315,185,5,5563.560000,2,2,5,Hibernating
AA-10375,20,9,1056.390000,5,5,2,Champions
AA-10480,260,4,1790.512000,1,1,3,Hibernating
AA-10645,56,6,5086.935000,3,3,5,Loyal
AB-10015,416,3,886.156000,1,1,1,Hibernating
AB-10060,55,8,7755.620000,3,4,5,Loyal
AB-10105,42,10,14473.571000,4,5,5,Champions
AB-10150,42,5,966.710000,4,2,2,New / Promising
AB-10165,26,8,1113.838000,5,4,2,Champions
AB-10255,167,9,914.532000,2,5,1,At Risk
AB-10600,51,4,1515.862000,4,1,2,New / Promising
AC-10420,233,3,925.800000,1,1,1,Hibernating
AC-10450,12,7,5527.846000,5,3,5,Loyal
AC-10615,7,5,2537.686000,5,2,3,New / Promising
AC-10660,283,5,657.316000,1,2,1,Hibernating
AD-10180,30,8,6106.880000,4,4,5,Champions
AF-10870,42,7,2052.908000,4,3,3,Loyal
AF-10885,416,4,861.565000,1,1,1,Hibernating
AG-10270,279,5,2582.898000,1,2,3,Hibernating
AG-10300,119,4,367.548000,2,1,1,Hibernating
AG-10330,9,5,660.972000,5,2,1,New / Promising
AG-10390,115,5,200.945000,2,2,1,Hibernating
AG-10495,79,8,2356.855000,3,4,3,Loyal
AG-10525,845,4,1455.038000,1,1,2,Hibernating
AG-10675,98,7,3489.039600,3,3,4,Loyal
AG-10765,78,4,170.584000,3,1,1,Hibernating
AG-10900,97,10,4510.797000,3,5,5,Loyal
AH-10030,13,7,1744.700000,5,3,3,Loyal
AH-10075,35,10,3250.337000,4,5,4,Champions
AH-10120,61,7,1735.514000,3,3,2,Loyal
AH-10195,56,4,1587.452000,3,1,2,Hibernating
AH-10210,7,9,4805.344000,5,5,5,Champions
AH-10465,231,5,2495.391600,1,2,3,Hibernating
AH-10585,22,4,738.504000,5,1,1,New / Promising
AH-10690,411,12,7888.294000,1,5,5,At Risk
AI-10855,14,10,4375.786000,5,5,5,Champions
AJ-10780,76,7,4867.344000,3,3,5,Loyal
AJ-10795,167,7,4501.391000,2,3,5,At Risk
AJ-10945,86,7,1839.240000,3,3,3,Loyal
AJ-10960,75,3,629.248000,3,1,1,Hibernating
AM-10360,29,5,814.012000,4,2,1,New / Promising
AM-10705,163,8,5664.022000,2,4,5,At Risk
AO-10810,502,1,161.280000,1,1,1,Hibernating
AP-10720,42,8,1638.554000,4,4,2,Champions
AP-10915,99,10,3323.556000,3,5,4,Loyal
AR-10345,112,4,1055.694000,2,1,2,Hibernating
AR-10405,126,5,2236.128000,2,2,3,Hibernating
AR-10510,15,5,264.864000,5,2,1,New / Promising
AR-10540,7,6,6608.448000,5,3,5,Loyal
AR-10570,535,1,88.150000,1,1,1,Hibernating
AR-10825,59,8,4523.336000,3,4,5,Loyal
AS-10045,89,7,3050.692000,3,3,4,Loyal
AS-10090,29,9,3255.310000,4,5,4,Champions
AS-10135,42,2,58.820000,4,1,1,New / Promising
AS-10225,23,5,4260.784000,5,2,4,New / Promising
AS-10240,193,7,584.608000,2,3,1,At Risk
AS-10285,20,6,3214.236000,5,3,4,Loyal
AS-10630,93,7,833.398000,3,3,1,Loyal
AT-10435,22,6,1171.814000,5,3,2,Loyal
AT-10735,14,10,3831.864000,5,5,4,Champions
AW-10840,21,4,649.376000,5,1,1,New / Promising
AW-10930,47,7,2852.968000,4,3,4,Loyal
AY-10555,15,4,497.014000,5,1,1,New / Promising
AZ-10750,161,6,1622.018000,2,3,2,At Risk
BB-10990,106,5,744.340000,2,2,1,Hibernating
BB-11545,29,9,6765.728000,4,5,5,Champions
BC-11125,203,9,2933.676000,2,5,4,At Risk
BD-11320,34,12,5718.521000,4,5,5,Champions
BD-11500,36,6,4411.243000,4,3,5,Loyal
BD-11560,279,2,320.540000,1,1,1,Hibernating
BD-11605,98,7,3288.471000,3,3,4,Loyal
BD-11620,70,6,1538.110000,3,3,2,Loyal
BD-11635,10,3,582.646000,5,1,1,New / Promising
BD-11725,94,6,1526.500000,3,3,2,Loyal
BD-11770,328,6,658.466000,1,3,1,At Risk
BE-11335,120,5,4204.676000,2,2,4,Hibernating
