category,sub_category,revenue,profit
Furniture,Tables,206965.532000,-17725.481100
Furniture,Bookcases,114879.996300,-3472.556000
Office Supplies,Supplies,46673.538000,-1189.099500
Office Supplies,Fasteners,3024.280000,949.518200
Technology,Machines,189238.631000,3384.756900
Office Supplies,Labels,12486.312000,5546.254000
Office Supplies,Art,27118.792000,6527.787000
Office Supplies,Envelopes,16476.402000,6964.176700
Furniture,Furnishings,91705.164000,13059.143600
Office Supplies,Appliances,107532.161000,18138.005400
Office Supplies,Storage,223843.608000,21278.826400
Furniture,Chairs,328449.103000,26590.166300
Office Supplies,Binders,203412.733000,30221.763300
Office Supplies,Paper,78479.206000,34053.569300
Technology,Accessories,167380.318000,41936.635700
Technology,Phones,330007.054000,44515.730600
Technology,Copiers,149528.030000,55617.824900
